Facility,MS DRG,Description,Average Charge
Fort Hamilton Hughes Memorial Hospital,003,"Ecmo Or Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth & Neck W Maj O.R."," $388,695 "
Fort Hamilton Hughes Memorial Hospital,004,"Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth & Neck W/O Maj O.R."," $387,253 "
Fort Hamilton Hughes Memorial Hospital,037,Extracranial Procedures W Mcc," $166,992 "
Fort Hamilton Hughes Memorial Hospital,038,Extracranial Procedures W Cc," $86,148 "
Fort Hamilton Hughes Memorial Hospital,039,Extracranial Procedures W/O Cc/Mcc," $73,526 "
Fort Hamilton Hughes Memorial Hospital,040,Periph/Cranial Nerve & Other Nerv Syst Proc W Mcc," $87,600 "
Fort Hamilton Hughes Memorial Hospital,041,Periph/Cranial Nerve & Other Nerv Syst Proc W Cc Or Periph Neurostim," $55,476 "
Fort Hamilton Hughes Memorial Hospital,042,Periph/Cranial Nerve & Other Nerv Syst Proc W/O Cc/Mcc," $51,144 "
Fort Hamilton Hughes Memorial Hospital,054,Nervous System Neoplasms W Mcc," $42,613 "
Fort Hamilton Hughes Memorial Hospital,055,Nervous System Neoplasms W/O Mcc," $53,304 "
Fort Hamilton Hughes Memorial Hospital,056,Degenerative Nervous System Disorders W Mcc," $34,185 "
Fort Hamilton Hughes Memorial Hospital,057,Degenerative Nervous System Disorders W/O Mcc," $35,850 "
Fort Hamilton Hughes Memorial Hospital,060,Multiple Sclerosis & Cerebellar Ataxia W/O Cc/Mcc," $16,113 "
Fort Hamilton Hughes Memorial Hospital,061,"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W Mcc"," $79,626 "
Fort Hamilton Hughes Memorial Hospital,062,"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W Cc"," $69,230 "
Fort Hamilton Hughes Memorial Hospital,063,"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W/O Cc/Mcc"," $35,129 "
Fort Hamilton Hughes Memorial Hospital,064,Intracranial Hemorrhage Or Cerebral Infarction W Mcc," $57,305 "
Fort Hamilton Hughes Memorial Hospital,065,Intracranial Hemorrhage Or Cerebral Infarction W Cc Or Tpa In 24 Hrs," $40,977 "
Fort Hamilton Hughes Memorial Hospital,066,Intracranial Hemorrhage Or Cerebral Infarction W/O Cc/Mcc," $31,831 "
Fort Hamilton Hughes Memorial Hospital,067,Nonspecific Cva & Precerebral Occlusion W/O Infarct W Mcc," $30,621 "
Fort Hamilton Hughes Memorial Hospital,068,Nonspecific Cva & Precerebral Occlusion W/O Infarct W/O Mcc," $49,112 "
Fort Hamilton Hughes Memorial Hospital,069,Transient Ischemia W/O Thrombolytic," $31,824 "
Fort Hamilton Hughes Memorial Hospital,070,Nonspecific Cerebrovascular Disorders W Mcc," $39,893 "
Fort Hamilton Hughes Memorial Hospital,071,Nonspecific Cerebrovascular Disorders W Cc," $34,990 "
Fort Hamilton Hughes Memorial Hospital,072,Nonspecific Cerebrovascular Disorders W/O Cc/Mcc," $21,208 "
Fort Hamilton Hughes Memorial Hospital,073,Cranial & Peripheral Nerve Disorders W Mcc," $48,295 "
Fort Hamilton Hughes Memorial Hospital,074,Cranial & Peripheral Nerve Disorders W/O Mcc," $10,562 "
