CDM DESCRIPTION,PRIMARY PRICE
0 FIBERWIRE,$109.00 
0.45NS PREMIX WITH KCL 20 MEQ,$161.00 
1.35 GW W THREADED TROCAR TIP,$102.00 
1.6 K-WIRE,$21.00 
1.6 MM K-WIRE,$71.00 
10 HOLE LOCKING STRAIGHT PLATE,"$2,948.00 "
10CC PHYSIO  MOLDABLE,"$13,811.00 "
"10H,LOCKING THIRD TUBULAR PLT","$1,387.00 "
10X40MM INSPIRA AIR BALLOON,"$4,340.00 "
11 DEOXYCORTISOL COMPOUND 5,$364.00 
111 WBC- PER STUDY DOSE,"$1,859.00 "
111 WBC- PER STUDY DOSE,"$3,574.00 "
1-131 IODIDE DIAG CAPSULE,$194.00 
12 HOLE LOCKING STRAIGHT PLATE,"$3,448.00 "
12CM 30FR NPHRMX NPHSTM,"$1,416.00 "
"12H,LOCKING THIRD TUBULAR PLT","$1,489.00 "
17 A HYDROXYPROGESTERONE PED,$249.00 
17 HYDROXYCORTICOSTEROIDS,$122.00 
17 HYDROXYPROGESTERONE,$249.00 
17 KETOSTEROIDS FRACT,$728.00 
17 KETOSTEROIDS TOTAL,$156.00 
18X120 EN SNARE,"$1,841.00 "
1CC PHYSIO MOLDABLE,"$1,540.00 "
1STP DRN SHOP PRC 7CM 5FR,$237.00 
2 ARM MENISCUAL 2-0 POLY,$137.00 
2 MM CALIBRATED REAMER,"$13,125.00 "
"2.4MM 2H L-PLATE, TI RT","$4,437.00 "
2.7MM 14MM LCK SCR,$500.00 
2.7MM X 22MM CORTICAL SCR,$388.00 
2-0 QUILL 2xDE,$87.00 
22FR PEELAWAY,$192.00 
235 CM RESOLUTION CLIP,$765.00 
24 HOUR URINE FOR COPPER,$146.00 
24 HR URINE FOR ARSENIC,$146.00 
24H HOLTER,$759.00 
3 MARLEN LOOP OSTEOMY ROD,$52.00 
3.5 LOCKING SCREW 14MM,$796.00 
3.5 MM x 16 LOCKING SCREW,$571.00 
3.5 NON LOCKING SCREW 14MM,$418.00 
3.5 X 26 MM SCREW,$149.00 
3.5 X20MM LCK SCR,$748.00 
3.5X 8MM BN SCR,$476.00 
33215 REPOSITION OF A/V LEAD,"$4,021.00 "
33226 REPOSITION LV LEAD,"$5,115.00 "
3-5 EMBOSPHERE,"$1,352.00 "
3-5 PVA,$788.00 
3D ECHOCARDIOGRAM,"$1,002.00 "
3MM KNOTLESS SUTURETAK,"$2,107.00 "
3X110 APEX S/D HALF PIN 25 THR,"$9,898.00 "
3X6 MOSAIC MESH,"$1,361.00 "
4 HOLE LOCKING STRAIGHT PLATE,"$2,234.00 "
4 HOLE RT HUMERUS PLATE,"$9,593.00 "
4.0 X 44 MM LOCKING SCREW,$933.00 
