FELT ORTHOPEDIC 2IN X 2IN STERILE LF 8512/50,7
TRAP FINGER DOUBLE STERIL MED  30522-3,113
LIDOCAINE 1 % SOLUTION 5 ML VIAL ,32
SCREW SYNT TI MATRIXMANDIBLE S -TAP LCK 2 X 8MM 04.503.608.01,456
PROTEIN C ANTIGEN - REF,188
PLATE SYNT LCP PROXIMAL HUMERUS 3.5MM 5 HOLE 241.918,"3,497"
COIL EMBOLIZATION TARGET 360 ULTRA 2MM X 6CM 542206,"4,689"
SUTURE MERSILENE 4-0 DYD 18INS-2 1779G,102
ROD SPINAL MEDT 5.5 TI CP4 NS CURVED 110MM 1553201110,614
SUTURE VICRYL 0 DYD 8 18IN CT  J752D,39
SUTURE VICRYL 2-0 8-18IN CT-1 J839D,103
STEM SHOULDER 15 X 83 MM 113635,"3,351"
SACUBITRIL-VALSARTAN 97-103 MG TABLET ,26
LENS IOL AU00T0 21.5 ACRYSOF IQ/ W/ ULTRASERT AU00T0V215,450
SUTURE ENDO STITCH W/ POLYSORB 0 48IN ES-9 170052,210
SCREW ART HEADLESS MICRO COMPR ESSION 2.5 X 13MM AR-8725-13H,738
STENT INNOVA 7X40X75CM  H74939293074070,"1,300"
LINER ACET PINNACLE ALTR X NEUTRAL 28MM ID X 50MMOD 1221-28-050,"1,809"
SCREW SYNT CORT S-TAP FT 3.5 X 22MM 204.822,80
AMMONIUM LACTATE 12 % LOTION 227 G BOTTLE ,53
SCOPOLAMINE 1 MG/3DAYS PATCH 72 HOUR ,33
AMPICILLIN-SULBACTAM 1.5 (1-0.5) G RECON SOLN 1 EACH VIAL ,27
SCREW SYNT LCK TI STRDRV T25 5 X 52MM 04.005.542,588
"DRUG(S) OR SUBSTANCE(S), DEFINITIVE, QUALITATIVE OR QUANTITATIVE, NOT OTHERWISE SPECIFIED; 1-3 - REF",91
PHENOL 89 % LIQUID ,10
GLUCAGON RDNA (DIAGNOSTIC) 1 MG RECON SOLN 1 EACH VIAL ,368
LIDOCAINE 1 % SOLUTION 20 ML VIAL ,16
"CATHETER, TRANSLUMINAL ANGIOPLASTY,DRUG-COATED,NON-LASER","4,583"
LINER POLYETHYLENE ALTRX 32MMX 50MM 1221-32-050,"4,950"
CATHETER GUIDING 50CM/45CM CS-MP ACUITY PRO 8113,"1,002"
SINCALIDE 5 MCG RECON SOLN ,406
PLATE SYNT 2.7MM LCP 4H 40MM 249.680,970
DESMOPRESSIN ACETATE 0.01 % SOLUTION 5 ML BOTTLE ,26
NEEDLE BIOPSY I8G X X 7-3/4 INCHIBA G01047,41
BLADE ART SABRE SJ 2.0 MM AR-7200SR,149
SCREW LCK 2.0MMX8MM FT  ANGLED 330-2008,555
SCREW MAXDRIVE L1 MMF 2MM X 8 MM PACK OF 5 STERILE 25-198-08-75,403
LEUPROLIDE 1 MG/0.2ML KIT ,538
CANNULA CORONARY DISTAL 12FR B BASKET TIP 30012,69
BALLOON OTW P 8.0X 40X 75CM X.035 MUSTANG H74939171080470,630
CATHETER DIAGNOSTIC 5FR MPA1 I MPULSE H749163911172,336
STEM FEMORAL CEMENTED SZ7 HI 133MM  SUMMIT 1570-13-135,"2,820"
SCREW TRI2 LCK PINK 2.4 X 16MM NC2416,245
INHIBIN A ANTIBODIES - REF,70
CLAMP SYNT LARGE MULTI-PIN 6 P OSITION 390.002,"1,655"
LEUCOCYTE ANTIBODIES - REF,48
OCTREOTIDE 500 MCG/ML SOLUTION 1 ML VIAL ,11
STENT BILIARY EVOLUTION CR UNCOVERED 8MM X 8CM FLANGE DI G23125,"3,281"
KIT PLERUX PLEURAL CATHETER AN D STARTER 50-7700,"1,550"
STEM UNIVERSAL 115X20MM FLUTED 86-7433,"3,107"
GUIDEWIRE 0.018INX100CM NITINO L VSI 7327,140
ELECTRODE LOOP MEDIUM E1560 LI ETZ MEDIUM TUNGSTEN VALLEYLA E1560,57
LIDOCAINE BUFFERED 1% SOLUTION ,17
GUIDEWIRE LUNDERQUIST STRAIGH T 260 G31453,329
PACKING EAR XOMED SCHINDLER MEROCEL 400355,45
SCREW MEDT TI CLOSED MULTI AXIAL 7.5 X 70MM 70467570,"1,508"
SET ULTRAXX NEPHROSTOMY BALLOON G30357,740
POTASSIUM PHOSPHATES 45 MMOLE/15ML SOLUTION 15 ML VIAL ,49
BALLOON RX COR 3.0 X 15MM MAVERICK H7493892815300,623
SHEATH MARKER SUPER 7FR X 25,61
CEFAZOLIN SODIUM 300 G RECON SOLN 1 EACH FLEX CONT ,8
STAPLER SKIN SUBCUTICULAR  2030,180
BIT DRILL SYNT MATRIX 1.5MM 2-FLUTE J-LATCH 03.503.476,624
VANCOMYCIN 1250 MG SOLUTION 250 ML FLEX CONT ,69
SCREW SOLERA 7.5 X 35MM 55840007535,"1,897"
PENCIL EXTENDVAC TELESCOPING S MOKE EVACUATOR TIP 10 TUBING 88-000702,102
PLATE SYNT TI ONE-THIRD TUBULAR 7 HOLE 441.37,255
LENS ACRYSOF IQ UV IOL W/ ULTRASERT SYSTEM ACU0T0 23.5D ACU0T0.235,450
PROMETHAZINE 12.5 MG SUPPOSITORY ,54
RELOAD STAPLER LINEAR PROXIMAT E VASCULAR 30MM XR30V,228
SCREW BONE VUEPOINT II 4.0 X 24MM MA 8975424,"1,590"
BUPIVACAINE 0.25 % SOLUTION ,10
BALLOON COR 1.2 X 20MM EMERGE MR PUSH H7493919020120,472
TOLVAPTAN 15 MG TABLET ,571
PUMP PENILE LG X 700 PRECONNECTIZ 15 CM X 12 MM 72404251,"20,673"
SUTURE CHROMIC GUT 4-0 18IN G-3 793G,45
DEVICE THROMBECTOMY 4 X 20 X10 MM SOLITAIRE PLATINUM SFR3-4-20-10,"18,420"
SCREW ART CORTICAL 3.5X16MM TI AR-14116NL,158
INTRODUCER SET 7FR X 11CM VNUS MIS-7F11,115
ADAPTER CATHETER TUOHY-BORST,64
LENS IOL ZCB00 20.0D ACRY TECN IS 1 ZCB002000,503
TROLAMINE SALICYLATE 10 % CREAM 85 G TUBE ,16
PLATE TIBIAL ZIMMER 5886-47-10  00588604710,"7,450"
BOTULINUM TOXIN TYPE A 100 UNITS RECON SOLN 1 EACH VIAL ,19
SCREW SYNT LCK S-TAP FT STRDRV 5 X 80MM 212.225,444
KIT UCL SUTURE PASSING DISPOSABLES AR-7715-4.5,"1,564"
CATHETER SV SIDEWINDER ST2 5FR,84
STEM FEMORAL SZ10 12/14 TAPER 7711-10 00771101000,"6,545"
MESH XL LEFT 3DMAX (1 PER CA) 0115312,582
TRAY TIB MBT REVISION CEM SZ4  1294-35-140,"9,880"
NEOMYCIN-POLYMYXIN-HYDROCORTISONE 3.5-10000-1 SUSPENSION 7.5 ML BOTTLE ,492
ASSAY URINE CHLORIDE,47
BLADE 50MM TRUNCATED EXPLANT 00705305010,"2,468"
SUTURE VICRYL PLUS 3-0 DYD 36IN CT-1 VCP344H,10
SUTURE PROLENE 6-0 DYD 18IN RB-2 8714H,18
SCREW SYNT HEADLESS COMPRESSIO N ST 4.5 X 75MM 02.226.675,705
TOOL FIXATION  6616,113
HEAD FEMORAL OXINIUM 12/14 36 MM M/+4 71343604,"3,885"
SCREW BIO FOSSA 2.0 X 7MM X DRIVE 99-6577,309
BODY FLUID CELL COUNT W DIFF,81
AMOXICILLIN-CLAVULANATE 600-42.9 MG/5ML RECON SUSP 75 ML BOTTLE ,38
INSERT TIBIAL FIXED STABILIZED PLUS SZ 3 12.5MM PFC SIGMA 96-2731,"4,610"
SCREW CORTICAL LCK 3.5MM X 14MM COLS-35140-TS,257
BALLOON COR 1.2 X 20MM EMERGE MR H7493918920120,435
SUTURE CHROMIC GUT 3-0 27IN FS -2 636H,31
CATHETER THORACIC 32FR ANGLED PVC 8132,22
"INJ,FORAMEN,L/S,ADDL LEVELS(T)",700
SYSTEM IMPLANT MINI TIGHTROPE 2.5MM BUTTON W INSERTER AR-8913DS,"1,260"
ANCHOR SUTURE DOUBLE LOADED SWIVELOCK 4.75 X 22 MM ART AR-2324BCC-2,939
BIT DRILL SYNT 1.5MM QC 85MM 310.15,244
BUR ROUND POLISHING 2.0 MM  1608-6-159,170
BALLOON RX P 5.0 X 40MM X 135C X.018 STERLING MONORAIL H74939031504010,962
SCREW SYNT CORT S-TAP 4.5 X 66MM 214.866,81
PHENOBARBITAL ASSAY - REF,101
PLATE SYNT 2.7/3.5MM VA-LCP MEDL DIS HUM 4H 108MM LT LONG 02.117.504,"2,939"
"STENT, NON-COA/NON-COV W/DEL","1,000"
SUTURE 36IN POLY TAPER CUT CVD  M0068331141,107
MESH SURGICAL PROGRIP 15X10CM LEFT SIDE LAPAROSCOPIC LPG1510AL,"1,105"
NEEDLE ENDO ULTRASOUND 25G ECHOTIP PROCORE G55738,769
BALLOON RX COR 4.0 X 10MM FLEXOME CUTTING H749CBM3400100,"1,600"
BUR SABRE TOOTH 3.5MM  AR-8350ST,139
CEFEPIME ,21
METHYLPHENIDATE 10 MG CAPSULE EXTENDED RELEASE 24 HOUR ,14
PIN DISTRACTOR 12MM DISCOVERY  105-301-012,375
PEG SMOOTH LOCKING 2.0MM X 20MM SPLS-20200-TS,257
CAGE SPINAL 8X11X30MM -12 DEG TI COROENT ANTERIOR 5181302,"8,563"
SCREW ART LOCKING TITANIUM 3.5 X 34MM AR-8935L-34,277
LINER 28 X 53/54/55MM  00500105328,"1,088"
BUDESONIDE-FORMOTEROL 160-4.5 MCG/ACT AEROSOL 10.2 G INHALER ,312
MESH POLYPRO FLAT 6IN X 6INGROIN TAILORED STRL 0112720,186
"CATHETER ABLATION EP NAVISTAR TC ,FJ, C-3 D132704","8,852"
KIT TRACHEOESOPHAGEAL PUNCTURE SET BE6055,736
VANCOMYCIN 1 G RECON SOLN 1 EACH VIAL ,18
TUBE TRACH SHILEY FLEX CUFFED ADULT SZ 6 6CN75H,165
SCREW LOCKING 3.5 X 16MM  58803516,705
SCREW SYNT LCK S-TAP STRDRV T8 2.7 X 12MM 202.212,360
LEUKOREDUCED RBC'S,535
ELECTRODE CAUTERY 1.0IN COATED NEEDLE TIP INSULATED 88-000M12C,15
STENT ONYX RX 2.5 X 34  RONYX25034UX,"1,850"
GUIDEWIRE ART .062 X 7IN LONG AR-8941-7,202
BRA SURG ELIZABETH PINK SZ XLG  042XL,107
RETRACTOR ENDO II AUTOSUTURE 176647,"2,115"
PIN GUIDE 2MM BAYONET PT 3PK 141796.,111
NAIL EX SYNT TI CANN TIBIAL W/PROX BEND 10 X 285MM STRL 04.034.437S,"2,515"
EXTENDER AAA ILIAC 16 X 10 X 7 PLL161007,"6,933"
CATHETER MICRO LANTERN DELIVER Y 135CM 45 DEGREE TIP PXSLIMLAN135T45,"1,660"
PLATE 26H ANGLED LCK LT 2.5MM 50-761-26-09,"4,561"
SET UNIVERSA FIRM URETERAL STENT 7FR X 22 32 CM G49917,254
PLATE MESH CALCANEUS MEDIUM  40-10104,"1,174"
SUTURE VICRYL 4-0 18IN P-2  J504G,25
VARICELLA VIRUS VACCINE (LIVE) 1350 PFU/0.5ML INJECTABLE 1 EACH VIAL ,242
SUTURE CHROMIC GUT 6-0 18IN G-1 DOUBLE ARM 790G,102
SCREW SYNT CORT S-TAP STRDRV T15 3.5 X 140MM 02.200.140,329
"LENS, INTRAOCULAR (NEW TECH)",345
MOMETASONE - FORMOTEROL 100-5 MCG/ACT AEROSOL 8.8 G INHALER ,752
SUTURE ETHILON 6-0 18IN P-1 689G,31
BALLOON OTW P 8.0X 40X 135CM X.035 EVERCROSS AB35W08040135,327
ESCITALOPRAM 5 MG/5ML SOLUTION ,16
SCREW WRI MUC 4.3 X 36MM LONG 44110033,658
SUTURE MONOCRYL 2-0 DYD 36IN CT-2 Y762H,9
CASSETTE ART DUALWAVE OUTFLOW AR-6430,150
PLATE SYNT 3.5MM LCP SUP ANT C LAV W/ LAT EXT 6H LT 108MM 02.112.009,"1,912"
DRAIN FLAT HBLS FULL PERF 7MM LF 0070430,242
LENS IOL ZCB00 24.0D ACRY TECN IS 1 ZCB002400,541
HOT OR COLD PACKS THERAPY,54
ROD PRE-BENT 60 X40MM MEDICREA B02176004,375
SUTURE VICRYL 2-0 DYD 27IN MH J323H,31
MRI ABDOMEN W/O TC,"1,933"
SUTURE SILK 4-0 BRAIDED 30IN RB-1 K871H,31
SNARE MINI-HEX EXACTO 230CM LENGTH 00711115,49
PLATE TI MATRIX PRE BENT MAXIL LARY  10MM ADVMNT/0.8MM THK/R 04.511.390,"1,052"
BALLOON COR 1.5 X 12MM EMERGE MR PUSH H7493919012150,472
GUIDE NERVE 6MM X 3CM LENGTH PNG630,"6,094"
BLADE OSCIL SAG 9 X 31 X .51 AGGRESSIVE 2296-033-225,110
STENT SYNERGY MR 2.50MM X 16MM  H7493926016250,"3,290"
"POLYMYXIN-BACITRACIN-NYSTATIN 500,000-500,000- SOLUTION ",227
MYCOPHENOLATE SODIUM 360 MG TABLET DELAYED RELEASE ,13
PRIMIDONE ASSAY - REF,142
XRAY ANKLE 2 VWS,244
BEARING HUMERAL STANDARD +3 CO MP SHOULDER XL-115364,"1,931"
LAYR CLOS WND REST BODY 7.6-12.5,619
DEVICE FIXATION BUTTON TIGHT ROPE ABS AR-1588TB,465
METRONIDAZOLE 50 MG/ML RECON SUSP ,6
"MRI,UPREXT JNT W/O+W/CONT","3,000"
CETUXIMAB 200 MG/100ML SOLUTION ,81
"GUIDEWIRE TROCAR, THREADED .04 5 AR-8737-42",91
WASHER ORTHOPEDIC 3.0MM ASNIS MICRO WASHER 3.0MM 40-30900,227
SCREW SYNT SCHANZ BLUNTED TROCAR POINT 5 X 200MM 294.56,369
TC99M MAG3 ,377
LIDOCAINE 1% 20 ML - EPINEPHRINE 1:1000 0.52 ML SOLUTION ,9
PIN ZIMM TRABECULAR 2.5MM META L 47430902501,780
CATHETER BALLOON 2MM DCP LACIRCATH DCP213-UNIT,689
PLATE SYNT 2.7/3.5MM VA-LCP ME DL DIS HUM 2H 82MM RT MEDIUM 02.117.402,"2,939"
COMPONENT FEM CR NARROW SZ 6N RIGHT CEMENTED ATTUNE 1504-00-226,"3,525"
COIL RUBY SOFT 20MM X 60CM,"3,972"
SUTURE MONOCRYL 3-0 ST RATAFIX SPIRAL PLUS UNDYED 45C SXMP1B107,95
COMPONENT VANGUARD TI CR FEMORAL IM 62.5MM CP113617,"13,884"
SUTURE LASSO 45 DEGREE RIGHT  AR-4068-45R,455
SUTURE POLYSORB 3-0 DYD 48IN S K EL450,206
COMPONENT FEMUR LEFT 55 MM CR VANGUARD BIOMET 183020,"3,829"
CATHETER URETH 16FR 35CML 5ML FOLEY IC RADIOPAQUE,56
SUCROFERRIC OXYHYDROXIDE 500 MG TABLET CHEWABLE ,20
COMPONENT FEM DPO PFC SIGMA KN EE NONPOR CRUC-RTAN LFT SZ3 96-0003,"3,501"
TRIAL GLOBAL AP BALL CYLINDERASSEMBLY 213000000,693
STENT BILIARY PROTEGE 12 X 60,"1,950"
LEAD PACING SELECTSECURE 69CM  383069,"1,254"
TRACHEOSTOMY SPEAKING VALVE,920
DEXMEDETOMIDINE 200 MCG/2ML SOLUTION ,27
FAMOTIDINE 200 MG/20ML SOLUTION 20 ML VIAL ,21
BLADE TURBINATE INFERIOR 2MM M 4 ROTATABLE 1882040HR,701
BIT DRILL WRI 2.8 MM X 60MM  58850028,462
SCREW SYNT CORT S-TAP STRDRV T8 2.7 X 38MM 202.898,130
CHLOROPROCAINE (PF) 2 % 2 % SOLUTION ,30
DRESSING VAC VERAFLOW MEDIUM ULTVFL05MD,82
EXTRACTOR STONE NGAGE  G48296,659
LEAD NAV2 QUAD X4 ACUITY  4674,"5,119"
SCREW SYNT CANN S-DRILL 7.3 X 85MM 16MM THREAD 208.885,727
CORKSCREW MINI ARTHREX FT AR-1319FT,855
CEFTAZIDIME 1 G RECON SOLN 1 EACH VIAL ,15
DILATOR URETERAL ADULT SET 60CM 6-18FR G14574,600
"FACTOR VIII, ONE STAGE - REF",232
PLATE SYNT 2.4MM TI VA-LCP TWO COL VOLAR DIS RAD 6H 45MM LT 04.111.621,"1,744"
FLUPHENAZINE DECANOATE 25 MG/ML SOLUTION ,115
NEEDLE ENDO INJECTION 25G X 5. 0MM CARR-LOCKE SS 00711811,179
MICONAZOLE 2 % POWDER 90 G CAN ,30
SUTURE VICRYL 8-0 DYD 8IN TG14 0-8 J547G,102
SLING SHOULDER KOOL M  08513,119
LEAD PACING MRI CONDTENDRIL 52CM LPA1200M/52,"1,200"
SHEATH BRAIDED SLI 81CM  407440,690
CATHETER CSF MEDTRONIC PERITONEAL BA OPEN END 90CM 43522,508
CATHETER 5F  EBU3 LAUNCHER  LA5EBU30,169
LEVONORGESTREL 1.5 MG TABLET ,42
BIT DRILL 1.5MM X50MM OSTEOMED PILOT J LATCH 220-0215,548
ASSAY OF UREA NITROGEN,63
EVEROLIMUS,261
GENTAMICIN 40 MG/ML SOLUTION 20 ML VIAL ,14
MOLECULAR PATH LEVEL 7 ARRAY - REF,"2,009"
"ORGANISM ID, ANAEROBIC - REF",137
SCREW SOLERA 6.5 X 50  55840006550,"1,897"
CATHETER GLIDECATH 4FR NON TAP ER ANG 65 CG415,183
KIT HIP BONE PREP ENHANCED  121010,853
BALLOON RX COR 2.5 X 10MM FLEX OME CUTTING H749CBM3250100,"1,600"
"EXAM,SYNOVIAL FLUID CRYSTALS",47
SCREW SYNT METAPHYSEAL S-TAP T8 STRDRV 2.7 X 38MM 02.118.538,174
TUBE CHEST FIRM PVC 32FR STRAIGHT 15032,16
COMPONENT PATELLA GII OVAL RESURFACING 5MM 71421035,700
AMINOSYN II 10% 10 % SOLUTION 500 ML FLEX CONT ,56
SHEARS HARMONIC ACE+7 WITH ADVANCED HEMOSTASIS HARH36,"1,027"
NEEDLE PULMONARY 21G ARCPOINT ILS-2100-PN,570
UP TO 30 DAY EVENT-LOOP HOOK UP,81
EXTRACTOR NCIRCLE TIPLESS STONE G18778,566
BRUSH BRONCH CYTOLOGY G21386,42
GUIDEWIRE ADVANTAGE .035 X 180CM BX1 GA3501,649
STENT RESOLUTE RX 3.0 X 12MM RSINT30012UX,"3,290"
SUTURE SILK 3-0 DYD 144IN REEL  LA54G,31
STENT URETERAL 7X24CM  G49913,254
TIP SUCTION SURGICAL YANKAUERVITAL-VUE W/ BULB TIP 8886828006,555
CAP END SYNT TI T40 STRDRV 10MM EXT FOR TIB NAILS-EX 04.004.010,598
CATHETER ELECTROPHYSIOLOGY 6FR MEDIUM SWEEP DECAPOLAR 401575,"1,260"
APPLICATOR FLEXTIP AM0005,58
SCREW SYNT CORT S-TAP 4.5 X 22 MM 214.822,81
NAIL SYNT TI RETRO/ANTEGRADE FEMORAL 11 X 380MM STRL 04.013.556S,"3,948"
SCREW SYNT LCK TI STRDRV T25 4 X 36MM 04.005.426,555
DEXTROSE 5 % AND 0.45% SODIUM CHLORIDE 5-0.45 % SOLUTION 500 ML FLEX CONT ,19
CATHETER PTA DILATATION 7FR,822
DRAIN CHEST OASIS 2000ML WATERSEAL 3600-100,210
FONDAPARINUX SODIUM 5 MG/0.4ML SOLUTION ,15
SUTURE VICRYL 5-0 18IN P-3 J493H,31
TACROLIMUS 5 MG CAPSULE ,8
SCREW ACUM NON-LCK HEXALOBE 2.7 X 22MM 30-0308,221
FUNGI IDENTIFICATION MOLD - REF,113
CATHETER INDIGO SEPARATOR 8  SEP8,"4,689"
CATHETER URETH 20FR 5ML FOLEY COUDE IC LATEX 0168SI20,635
SET FLUID WARMING  24750,140
BALLOON STERLING OTW 3.0 X 40M M X 150CM H74939032300410,570
SET ACCESS PEDAL 4FR X 7 CM MICROPUNCTURE G02972,221
PIN SYNT 1.8MM VA LCK BUTTRESS T8 STRDRV 16MM 02.210.086,367
PENCIL ELECTROSURGICAL ROCKER COATED BLADE W/HOLSTER 15FT 88-001521,21
PLATE SYNT DHS 135 DEG SHORT BARREL 4H 78MM 281.540,"1,068"
CATHETER URETH 16FR MALE INTERMITTENT MAGIC 3 SIL 16IN 53316,58
DRESSING NASAL STAND MEROCEL W/ AIRWAY TUBE AND STRING 8.0CM 440410,79
TUBING IRRIGATION SET METRIQ  M0041170,315
DOCETAXEL 20 MG/2ML SOLUTION 2 ML VIAL ,11
STAPLER SKIN 35 REGULAR DEROYAL 25-3002,121
CAP END LOCKING 0 MM ANKLE  99-T770000,745
INTRODUCER SHEATH PRELUDE SNAP 8F 13CM PLS-1008,123
KETOROLAC 0.5 % SOLUTION ,31
HOLDER CATHETER TUBE ADHESIVE LARGE ADULT 5445-3,7
MRI L SPINE W&WO CONTRAST,"3,626"
CATHETER EP SUPRA CS 60CM BIVALVE F5ADP282RT,727
BALLOON OTW P 8.0X 40X 80CM X.035 EVERCROSS AB35W08040080,325
PEG PARAGON LAPIDUS 3.5X18MM NAIL ANTI-ROTATION P30-S1-3518,844
SUTURE VICRYL 4-0 18IN P-3 J494H,16
TAP ACUM ACUTWIST ACUTRAK 30MM  AI-NG30,333
TROCAR XCEL BLADED 5X100MM  D5LT,71
CATHETER INFUSION 20CM LENGTH 100CM CRAGG-MCNAMARA 41051-01,293
IPRATROPIUM 0.06 % SOLUTION 15 ML BOTTLE ,139
LAB ANTIGEN TYPING,35
JOINT DEVICE (IMPLANTABLE),393
HYDROCODONE-CHLORPHENIRAMINE ER 10-8 MG/5ML SUSPENSION EXTENDED RELEASE ,13
RASBURICASE 7.5 MG RECON SOLN 1 EACH VIAL ,251
NAIL T2 TIBIAL STD 10X360MM 1822-1036S,"3,097"
DEVICE SPECIMEN RETRIEVAL SYSTEM INZII 12 15MM CD004,488
SUTURE TIGERSTICK  AR-7209T,161
NEEDLE SPINAL PENCAN 25GA X 5  333875,19
SCREW SYNT VA LCK S-TAP STRDRV T8 2.7 X 38MM 02.211.038,414
POTASSIUM; URINE,82
CATHETER ENVOY 6F XB MPD 100CM  670-258-00B,707
SCREW SYNT CORT S-TAP 2.7 X 24 MM 202.824,119
DEVICE EMBOLIC PROTECTION SPID ER FX 7MM SPD2-US-070-320,"3,055"
CAP END +10 1822-0010S,389
COMPONENT DXTEND GLENOSPHERE ECC D42MM DELTA EXTEND DEPUY 1307-60-042,"4,558"
PLATE 25MM ANTERIOR CERVICAL ZEVO 3001025,"1,881"
PACK ESSENTIA SHOULD ARTH SURG I SOP5BSAEHA,200
DRESSING MEPILEX 4X8 POST-OPBORDER 496405,21
"LYME DISEASE, CONFIRM TST - REF",218
PLATE SPINE ZEVO 39MM ANTERIOR CERVICAL 2 LEVEL 3002039,"2,750"
"CORNEA,DONOR,OR CHARGE","7,050"
OLANZAPINE 15 MG TABLET DISINTEGRATING ,17
DRAIN GLAUCOMA AHMED VALVE  FP7,"1,190"
GRAFT TISSUE ALLODERM 4X 12CM  152048,62
INTRODUCER ULTIMUM 8F X 23 (MUST ORDER IN QTY:5/EA) 407860,104
GRAFT DURAGEN PLUS 4 X 5 DP-1045,"3,323"
NAIL 11MM 130 DEG TI CANN TFNA 380MM RT STRL 04.037.158S,"4,699"
SUTURE SILK 0 30IN MH  K844H,6
SCREW OSTE 2.0MM X 9MM FULL THRD 331-2009,293
SHEATH ACCESS 12FR 14FR X 28CM SET NAVIGATOR HD M0062502240,557
CATHETER QUICK-CROSS .035X 150 CM 518-038,543
GRAFT ENDOPROSTH CONTRALATERAL LEG LO PROF AAA 18MMX11.5CM PLC181200,"9,870"
TUBING INSUFFLATOR HIGH FLOW II SET PHENMOSURE 620-040-660,48
PACK ESSENTIA MINOR STD  SBACNMIEHB,187
SUTURE ETHILON 8-0 DYD 5IN BV130-3 2822G,103
SCREW SYNT VA LCK S-TAP T15 STRDRV 3.5 X 70MM 02.127.170,494
NAIL SYNT TI TIBIAL CANN 12 X 375MM STRL 04.004.655S,"3,458"
PROTHOMBIN TIME - REF,74
RELOAD PROXIMATE LINEAR CUTTER TI THICK GREEN 100MM TRT10,521
SCREW LP LOCKING 3.5MM X 18 CORTICAL AR-8935L-18,277
BIT DRILL SYNT 2.7MM CANN  310.67,"1,037"
INSERT RP CURVED SIZE 2.5 10MM 96-2021,"2,603"
SPHINCTEROTOME 5.5FR .021 TRACE PRE-LOADED G56103,731
SCREW SET SOLERA  5540030,390
PLATE SYNT TI MATRIX MIDFACE FRAME 4H 5X10MM 0.4MM 04.503.330,685
"CATH, EP, COOL-TIP","3,800"
CATHETER RETROGRADE 14FR CARDI OPLEGIA SMOOTH RC014MIB,346
CATHETER PERIPH 4FR 65CM STR TAPER TIP SHAPE .038 GW COM CG412,170
GUIDEWIRE BLUNT DISPOSABLE 8670001,271
SYSTEM PROCESSOR SOUND BAHA 5 POWER BROWN 95473,"8,170"
"CATH, EP, DIAG/ABL, 3D/VECT","1,980"
DEVICE FIXATION ACL TIGHTROPERT AR-1588RT,825
CATHETER EP 6F MAP-IT DECAPOLAR 4-4-4-29-4-4-4-4 901824-APT,889
SUTURE PLAIN FAST GUT 6-0 18IN PC-1 1916G,31
SCREW ACUM NON-LCK HEXALOBE 3.5 X 60MM 30-0275,221
