file_urls,time
https://www.baptistonline.org/-/media/Pricing-Documents/YazooProcedures.xlsx?la=en&hash=230CD93D4625C0603FE6A9C671C28DB945CC8D9D,06 11 2019 21:26:31
https://www.baptistonline.org/-/media/Pricing-Documents/MemphisProcedures.xlsx?la=en&hash=B16E68EE52B5392150021100DE6B6D84778FD051,06 11 2019 21:26:31
https://www.baptistonline.org/-/media/Pricing-Documents/JacksonProcedures.xlsx?la=en&hash=7EC53C635ED6B2F1FC1489F0B7434A78328C1CAA,06 11 2019 21:26:32
https://www.baptistonline.org/-/media/Pricing-Documents/GoldenTriangleProcedures.xlsx?la=en&hash=C45FECDD1921692D9137AF61FB4D940F97DB220F,06 11 2019 21:26:33
https://www.baptistonline.org/-/media/Pricing-Documents/TiptonProcedures.xlsx?la=en&hash=190F57417777A938E5109A97796743DFC805A3C8,06 11 2019 21:26:33
https://www.baptistonline.org/-/media/Pricing-Documents/HuntingdonProcedures.xlsx?la=en&hash=CE16547B88F0DE06E73E1032E87FBAFAC49F85D7,06 11 2019 21:26:33
https://www.baptistonline.org/-/media/Pricing-Documents/NewAlbanyProcedures.xlsx?la=en&hash=A72A7E5F9AA08ECEA5276BCE5194A1AD253D56EE,06 11 2019 21:26:33
https://www.baptistonline.org/-/media/Pricing-Documents/UnionCityProcedures.xlsx?la=en&hash=809162D7DBAD522E7D30BD7F4101344EA215A714,06 11 2019 21:26:33
https://www.baptistonline.org/-/media/Pricing-Documents/CalhounProcedures.xlsx?la=en&hash=3188CD3D8CD519FF5243D0E140B6274EB60F3220,06 11 2019 21:26:33
https://www.baptistonline.org/-/media/Pricing-Documents/OxfordProcedures.xlsx?la=en&hash=B72707C4629B6290AAA11E932B7A4903E4FE1E65,06 11 2019 21:26:33
https://www.baptistonline.org/-/media/Pricing-Documents/AttalaProcedures.xlsx?la=en&hash=A8A39791261A998FFE3ACF586971CBBD62FB958D,06 11 2019 21:26:34
https://www.baptistonline.org/-/media/Pricing-Documents/LeakeProcedures.xlsx?la=en&hash=0871C1C7F910E06C5C79E7A1D42E563716A4742E,06 11 2019 21:26:34
https://www.baptistonline.org/-/media/Pricing-Documents/DesotoProcedures.xlsx?la=en&hash=E7A6841C31F7FE8A1E38E92AE78099C2FBEDD497,06 11 2019 21:26:34
https://www.baptistonline.org/-/media/Pricing-Documents/BoonevilleProcedures.xlsx?la=en&hash=5C1960DE63169650DFA2F19CB4022B562D591101,06 11 2019 21:26:35
https://www.baptistonline.org/-/media/Pricing-Documents/JonesboroProcedures.xlsx?la=en&hash=6D286DD439A930D25628CCECA436825ADB00D5E3,06 11 2019 21:26:35
https://www.baptistonline.org/-/media/Pricing-Documents/Baptist-Health---Average-Charge-by-DRG.xlsx?la=en&hash=6EEA4054EE0E3292529292A969EB3540FEA13A06&hash=6EEA4054EE0E3292529292A969EB3540FEA13A06,06 11 2019 21:26:57
