file_urls,time
https://www.columbushosp.org/home.aspx,06 11 2019 20:00:46
https://www.columbushosp.org/for_patients_visitors/patient_financial_information.aspx,06 11 2019 20:00:46
https://www.columbushosp.org/for_patients_visitors/healthcasts.aspx,06 11 2019 20:00:46
https://www.columbushosp.org/for_patients_visitors/cafeteria.aspx,06 11 2019 20:00:46
https://www.columbushosp.org/for_patients_visitors/nominate_a_nurse.aspx,06 11 2019 20:00:47
https://www.columbushosp.org/for_patients_visitors/about_us.aspx,06 11 2019 20:00:47
https://www.columbushosp.org/for_patients_visitors.aspx,06 11 2019 20:00:47
https://www.columbushosp.org/for_patients_visitors/bike_share.aspx,06 11 2019 20:00:47
https://www.columbushosp.org/clinical_education.aspx,06 11 2019 20:00:47
https://www.columbushosp.org/product_review_request_form.aspx,06 11 2019 20:00:47
https://www.columbushosp.org/findadoc/,06 11 2019 20:00:47
https://www.columbushosp.org/for_patients_visitors/joint_commission.aspx,06 11 2019 20:00:48
https://www.columbushosp.org/terms_of_use.aspx,06 11 2019 20:00:48
https://www.columbushosp.org/privacy_policy.aspx,06 11 2019 20:00:48
https://www.columbushosp.org/search.aspx,06 11 2019 20:00:48
https://www.columbushosp.org/for_patients_visitors/interpreter_services.aspx,06 11 2019 20:00:48
https://www.columbushosp.org/e-cards.aspx,06 11 2019 20:00:48
https://www.columbushosp.org/for_patients_visitors/patient_financial_information/insurance.aspx,06 11 2019 20:00:48
https://www.columbushosp.org/for_patients_visitors/patient_financial_information/frequently_asked_questions.aspx,06 11 2019 20:00:48
https://www.columbushosp.org/for_patients_visitors/medication_safety.aspx,06 11 2019 20:00:49
https://www.columbushosp.org/contact_us/recognition_form.aspx,06 11 2019 20:00:49
https://www.columbushosp.org/contact_us.aspx,06 11 2019 20:00:49
https://www.columbushosp.org/newsletter_sign_up.aspx,06 11 2019 20:00:49
https://www.columbushosp.org/sitemap.aspx,06 11 2019 20:00:49
https://www.columbushosp.org/careers/benefits.aspx,06 11 2019 20:00:49
https://www.columbushosp.org/careers/apply.aspx,06 11 2019 20:00:49
https://www.columbushosp.org/careers.aspx,06 11 2019 20:00:49
https://www.columbushosp.org/for_patients_visitors/non-discrimination_and_language_help.aspx,06 11 2019 20:00:50
https://www.columbushosp.org/careers/student_central.aspx,06 11 2019 20:00:50
https://www.columbushosp.org/for_patients_visitors/gift_shop.aspx,06 11 2019 20:00:50
https://www.columbushosp.org/news_events/quick_facts.aspx,06 11 2019 20:00:51
https://www.columbushosp.org/healthapp/jobs/Default.aspx,06 11 2019 20:00:51
https://www.columbushosp.org/news_events/latest_news.aspx,06 11 2019 20:00:51
https://www.columbushosp.org/news_events/importance_of_caring_newsletter.aspx,06 11 2019 20:00:51
https://www.columbushosp.org/news_events/community_newsletter.aspx,06 11 2019 20:00:51
https://www.columbushosp.org/news_events/2019_platte_county_rankings_and_roadmaps.aspx,06 11 2019 20:00:51
https://www.columbushosp.org/news_events/chip_implementation_plan_2018.aspx,06 11 2019 20:00:51
https://www.columbushosp.org/news_events/we_can_run_walk_and_roll.aspx,06 11 2019 20:00:52
https://columbus.patientcompass.com/RA,06 11 2019 20:00:52
https://www.columbushosp.org/news_events/chip_implementation_plan_2012.aspx,06 11 2019 20:00:52
https://www.columbushosp.org/news_events/community_health_improvement_plan.aspx,06 11 2019 20:00:52
https://www.columbushosp.org/news_events/community_health_needs_assessment_chna.aspx,06 11 2019 20:00:52
https://www.columbushosp.org/news_events/community_benefit.aspx,06 11 2019 20:00:52
https://www.columbushosp.org/news_events/chip_implementation_plan_2015.aspx,06 11 2019 20:00:53
https://www.columbushosp.org/news_events/athlete_of_the_week.aspx,06 11 2019 20:00:53
https://www.columbushosp.org/news_events/annual_report.aspx,06 11 2019 20:00:53
https://www.columbushosp.org/news_events.aspx,06 11 2019 20:00:53
https://www.columbushosp.org/for_patients_visitors/patient_financial_information/my_loans_financing_program.aspx,06 11 2019 20:00:53
https://www.columbushosp.org/volunteer.aspx,06 11 2019 20:00:53
https://www.columbushosp.org/foundation/news_events.aspx,06 11 2019 20:00:53
https://www.columbushosp.org/foundation/holing_out_fore_health_golf_outing.aspx,06 11 2019 20:00:54
https://www.columbushosp.org/news_events/calendar_of_events.aspx,06 11 2019 20:00:54
https://www.columbushosp.org/foundation/ways_to_give.aspx,06 11 2019 20:00:54
https://www.columbushosp.org/foundation.aspx,06 11 2019 20:00:54
https://www.columbushosp.org/for_patients_visitors/visiting_hours.aspx,06 11 2019 20:00:54
https://www.columbushosp.org/volunteer/volunteen_program.aspx,06 11 2019 20:00:54
https://www.columbushosp.org/for_patients_visitors/social_media_policy.aspx,06 11 2019 20:00:54
https://www.columbushosp.org/for_patients_visitors/registration.aspx,06 11 2019 20:00:54
https://www.columbushosp.org/for_patients_visitors/price_estimator.aspx,06 11 2019 20:00:55
https://www.columbushosp.org/for_patients_visitors/pre-admission.aspx,06 11 2019 20:00:55
https://www.columbushosp.org/for_patients_visitors/physician_directory.aspx,06 11 2019 20:00:55
https://www.columbushosp.org/for_patients_visitors/patient_portal.aspx,06 11 2019 20:00:55
https://www.columbushosp.org/our_clinics/visiting_physicians_clinic.aspx,06 11 2019 20:00:56
https://www.columbushosp.org/for_patients_visitors/patient_financial_information/financial_charity_assistance_program.aspx,06 11 2019 20:00:56
https://www.columbushosp.org/our_clinics/humphrey_medical_clinic.aspx,06 11 2019 20:00:56
https://www.columbushosp.org/our_clinics/concussion_management_clinic.aspx,06 11 2019 20:00:56
https://www.columbushosp.org/careers/shared_governance.aspx,06 11 2019 20:00:56
https://www.columbushosp.org/our_clinics/columbus_otolaryngology_clinic.aspx,06 11 2019 20:00:56
https://www.columbushosp.org/our_clinics/columbus_orthopedic_sports_medicine_clinic.aspx,06 11 2019 20:00:56
https://www.columbushosp.org/our_clinics/columbus_general_surgery.aspx,06 11 2019 20:00:57
https://www.columbushosp.org/careers/physician_recruitment.aspx,06 11 2019 20:00:57
https://www.columbushosp.org/our_services/woc_health_center.aspx,06 11 2019 20:00:57
https://www.columbushosp.org/our_services/womens_health.aspx,06 11 2019 20:00:57
https://www.columbushosp.org/foundation/current_memorials.aspx,06 11 2019 20:00:57
https://www.columbushosp.org/our_services/swing_bed.aspx,06 11 2019 20:00:57
https://www.columbushosp.org/our_services/surgical_services.aspx,06 11 2019 20:00:58
https://www.columbushosp.org/our_services/sports_medicine.aspx,06 11 2019 20:00:58
https://www.columbushosp.org/our_services/sleep_lab.aspx,06 11 2019 20:00:59
https://www.columbushosp.org/news_events/cch_named_top_100_rural_community_hospital.aspx,06 11 2019 20:00:59
https://www.columbushosp.org/our_services/skilled_nursing_unit.aspx,06 11 2019 20:00:59
https://www.columbushosp.org/our_services/respiratory_care.aspx,06 11 2019 20:00:59
https://www.columbushosp.org/our_services/rehabilitative_services.aspx,06 11 2019 20:00:59
https://www.columbushosp.org/our_services/same_day_services.aspx,06 11 2019 20:00:59
