MidMichigan Medical Center-Clare,
"Updated:  April 1, 2019",
,
Charge Description,Standard Charge
" ROOM CHARGE, PRIVATE",1420
" ROOM CHARGE, SEMI-PRIVATE",1420
" ROOM CHARGE, PEDIATRIC SEMI-PRIVATE",1420
" ROOM CHARGE, ED",1172
" ROOM CHARGE, INTENSIVE CARE UNIT, LEVEL 1",2513
" ROOM CHARGE, PROGRESSIVE CARE UNIT",1639
 IV HYDRATION INITIAL HOUR,300
 IV HYDRATION EACH ADDTL HOUR,150
 IV INFUSION INITIAL HOUR,328
 IV INFUSION EACH ADDTL HOUR,150
 IV INFUSION ADDTL SEQ 1ST HR,191
 IV INFUSION CONCURRENT,117
 INJECTION INTRAMUSCULAR OR SUBCUTANEOUS,96
 IV PUSH SINGLE/INITIAL DRUG,142
 IV PUSH EACH ADDTL SEQ NEW DRUG,147
 IV PUSH EACH ADDTL SEQ SAME DRUG,147
 PORT FLUSH/IMPLANTED VAD IRRIGATION,131
 PROCESSING CS-LEVEL 1,81
 PROCESSING CS-LEVEL 2,165
 PROCESSING CS-LEVEL 3,323
 PROCESSING CS-LEVEL 4,487
 ULTRASOUND/SONOSITE,202
 CYSTO IRRIGATION SET,15
 UTILITY DRAPE,2
 PICC LINE SECURE DEVICE,20
 COVADERM DRESSING,2
 IV START KIT,9
 BLOOD TUBING,4
 ICE PACK,26
 PICC LINE MICROINTRODUCER,123
 MINOR TRAY,331
 MIDLINE CATHETER KIT,206
 CAPTOLINE TUBING,35
 ACE BANDAGE,5
 LEG BAG,31
 SURGICAL SHOE,35
" DRESSING, DUODERM",32
 HOHN CATHETER,235
 COBAN,4
 SHORT ARM CAST,0
 LONG ARM CAST,0
 LONG LEG CAST,0
 SHORT LEG CAST,0
 CAST/SPLINT,0
 SPICA HIP CAST,0
 INCENTIVE SPIROMETER INITIAL,122
 GOWN SURGICAL,9
 SUCTION CANNISTER,5
 SPONGE 4X4,1
 CLEANING BRUSH,7
 HUBER NEEDLE,28
 TRIPLE LUMEN CENTRAL LINE,414
 DRESSING CHANGE KIT,40
 THORACENTESIS TRAY,149
 PICC LINE KIT,759
 FOLEY CATHETER,42
 SUTURE REMOVAL KIT,27
 KERLIX/KLING BANDAGE,6
 STERI STRIPS,9
 ROBNEL CATHETER,3
" DRESSING, ADAPTIC",3
" DRESSING, TELFA",3
 IODOFORM BANDAGE,40
 TEGADERM,5
 PONSKE PULL PEG KIT,646
" DRESSING, OPSITE",7
 NU GAUZE,41
 CAUTERY PENCIL,16
 PURAPLY PER SQ CM,420
 PRIMATRIX PER SQ CM,178
 HYDROFERA BLUE READY DRESSING,16
" TOURNIQUET, DISPOSABLE, ED",67
 SHOULDER ORTHOSIS PREFAB,168
 ELBOW ORTHOTIC WO JOINTS,320
 EWHO WITHOUT JOINTS,828
 EWHO W JOINT/BAND/TURNBCK,868
 EWHFO WITHOUT JOINTS,1419
 EWHFO W JOINT/BAND/TURNBK,1504
 WHFO W JOINT/BAND/TURNBKL,504
 RCAI SPL-PREFAB,149
 WHFO WITHOUT JOINTS,394
 WHO W JOINT/BAND/TURNBCKL,1099
 WHO WITHOUT JOINTS,560
 HFO WITHOUT JOINTS,300
 HAND ORTHOTIC WO JOINTS,300
 HFO W JOINT/BAND/TURNBCKL,356
 FINGER ORTHOTIC WO JOINTS,236
 FO W JOINT/BAND/TURNBCKL,246
 SAFETY PIN MOD SPRINGWIRE,71
 AIR SPLINT-ANKLE,157
 SAFETY PIN SPRG WIRE SPLT,71
 SPECIAL ORTHOPEDIC DEVICE,0
 CERVICAL COLLAR SOFT,90
" CERVICAL COLLAR, PLASTIC",165
 KNEE IMMOBILIZER,220
 ANKLE STIRRUP,100
" WALKING BOOT, DARBY",52
 SHOULDER IMMOBILIZER,85
 WRIST COCK-UP SPLINT,90
 WRIST BRACE W THUMB,116
 AIR SPLINT - ANKLE,157
 ALPHA FETO PROT MATERNAL,0
 ANA PATTERN,0
" LEAD, TO MDCH",0
 TRAVEL ONE WAY LESS THAN 20 MILES,12
 CATH FOR URINE SPECIMEN,78
 ROUTINE VENIPUNCTURE,13
 BLOOD DRAW FEE CAPILLARY,16
 BLOOD DRAW IMPLANTED VENOUS DEVICE,137
 BLOOD DRAW CENTRAL/PICC LINE,137
 BLOOD GAS DRAW,111
 FSH,131
" HANDLING CHARGE SPECIMEN PATIENT, EXCEPT IN OFFICE, TO LAB",23
" HANDLING CHARGE SPECIMEN PATIENT, NOT IN OFFICE, TO LAB",42
 PSA PROS SPEC ANG SCREEN,105
 DRUG TEST PRESUMPTIVE OPTICAL INSTRUMENT,162
 DRUG SCREEN QUANTALCOHOLS,112
 NICOTINE SCREEN,54
 ANALGESICS NON OPIOID 1/2,90
 METABOLIC PANEL TOTAL CALCIUM,112
 ELECTROLYTE PANEL,70
 COMPREHENSIVE METABOLIC PANEL,149
 LIPID PANEL,126
 RENAL FUNCTION PANEL,118
 LIVER FUNCTION PANEL,101
 CARBAMAZEPINE (TEGRETOL),96
 DIGOXIN SERUM,138
 VALPROIC ACID (DEPAKENE),153
 EVEROLIMUS DRUG ASSAY,260
 GENTAMICIN,129
 LITHIUM,72
 PHENOBARBITOL,84
 PHENYTOIN (DILANTIN) TOTAL,96
 TACROLIMUS,208
 THEOPHYLLINE,141
 TOBRAMYCIN,123
 VANCOMYCIN,104
 URINANALYSIS VOLUME MEASUREMENT EACH,13
" KETONES, ACETONE",70
 ALBUMIN SERUM,40
 ALBUMIN FLUID,33
" ALBUMIN, URINE",85
 AMMONIA,127
 AMYLASE,59
 AMYLASE BODY FLUID,48
 BILIRUBIN TOTAL,40
 BILIRUBIN DIRECT,46
 VITAMIN D 25 HYDROXY,105
 CALCIUM LEVEL,40
" CALCIUM, IONIZED",42
 CALCIUM QUANT URINE,62
 CARBON DIOXIDE,40
 CARBOXYHEMOGLOBIN QUANTITATIVE,146
 CEA CARCINOEMBRYONIC,174
 CHLORIDE BLOOD,40
 CHOLESTEROL,49
 CORTISOL TOTAL,114
 CPK TOTAL,65
 CREATININE BLOOD,40
 CREATININE URINE,66
 CREATININE CLEARANCE,119
 VITAMIN B12,104
 FERRITIN,70
 FETAL FIBRONECTIN,527
 FOLIC ACID,104
 ASSAY IGA IGD IGG IGM EA,78
 BLOOD GAS PH ONLY,101
 BLOOD GAS ANALYSIS,348
 GLUCOSE BODY FLUID,40
 GLUCOSE BODY FL,33
 GLUCOSE,40
 GLUCOSE TOLERANCE FASTING,0
 GLUCOSE TEST,40
 GLUCOSE 2 HOUR POST GLUCOLA,40
 GLUCOSE TOLERANCE 1-3 SPECIMEN,139
 GLUCOSE TOLERANCE EACH ADDITIONAL BEYOND 3 SPC,42
 BLOOD GLUCOSE CHECK,26
 GLUCOSE TEST SUPPLY,5
 GAMMA GLUTAMYLTRANSFERASE,56
 FSH GONADOTROPIN,142
 LH LEUTENIZING HORMONE,161
" HAPTOGLOBIN, QUANTITATIVE",116
 HEMOGLOBIN A1C,93
 METHEMOGLOBIN,41
 HOMOCYSTEINE,50
 INSULIN BLOOD,45
 IRON TOTAL,79
 IRON BINDING CAPACITY,93
 LACTIC ACID,119
 LACTATE DEHYDROGENASE,46
 LIPASE,65
 HDL CHOLESTEROL,49
" BLOOD LIPOPROTEIN, LDL CHOLESTEROL",69
 MAGNESIUM,70
 MAGNESIUM URINE TIMED,74
 MYOGLOBIN,82
 NATRIURETIC PEPTIDE,117
 NEPHLEOMETRY EA ANALYTE,62
 OLIGOCLONAL BANDS,178
 OSMOLALITY SERUM,74
 OSMOLALITY URINE,74
 OSTEOCALCIN,94
 PARATHYROID HORMONE INTACT,65
 ALKALINE PHOSPHATASE,40
 PHOSPHOROUS INORGANIC,46
 PHOSPHORUS URINE TIMED,69
" POTASSIUM, SERUM, PLASMA, OR WHOLE BLOOD",40
 POTASSIUM URINE 24 HOUR,79
 POTASSIUM RANDOM URINE,72
 POTASSIUM URINE BODY FLUID,80
 PREALBUMIN,26
 PROCALCITONIN (PCT),110
 PROLACTIN,169
 PROSTATE SPECIFIC ANTIGEN (PSA) TOTAL,58
 PSA FREE,55
" PROTEIN TOTAL, SERUM, PLASMA, WHOLE BLOOD",40
 PROTEIN TOTAL URINE,45
" PROTEIN, TOTAL BODY FLUID",66
 PROTEIN ELECTROPHORESIS SERUM,160
 PROTEIN ELECTROPHORESIS URINE CSF,142
 PYRUVATE,49
 SEX HORMONE BINDING GLOBULIN,66
" SODIUM, SERUM, PLASMA, OR WHOLE BLOOD",46
 SODIUM URINE,72
 SWEAT SODIUM,43
 TESTOSTERONE TOTAL,92
 THYROXIN TOTAL,54
 FREE THYROXINE,72
 THYROID STIM HORMONE,74
 TRH TSH 60 MIN SPECIMEN,52
 TRH TSH 30 MIN SPECIMEN,94
" TRANSFERASE, ASPARTATE AMINO (AST) (SGOT)",46
 TRANSFERASE ALANINE AMINO,46
 TRIGLYCERIDES,56
 TOTAL T3 (TRIIODOTHYRONINE),142
 FREE T3 (TRIIODOTHYRONINE),60
 TROPONIN QUANTITATIVE,139
 UREA NITROGEN,40
 UREA NITROGEN URINE,74
 UREA NITROGEN CLEARANCE,92
" URIC ACID, BLOOD",46
 URIC ACID,74
" GONADOTROPIN, CHORIONIC (G) QUANT",126
 POTASSIUM BODY FLUID,82
 BLOOD VISCOSITY EXAMINATION,68
 HIGH SENSITIVITY C-REACTIVE PROTEIN,67
 CA 27.29,48
 CA 15-3,52
 CA 19-9,48
 CA-125,93
 IMMUNO FIXATION SERUM,160
 IMMUNOFIXATION ELECTROPHORESIS SERUM,160
